"#","RefDes","Value","Name","Part","Manufacturer"
"1","C1","100uFx16V","CAP100RP","Part 1",""
"2","C2","50uFx6.3V","CAP100RP","Part 1",""
"3","C3","100nF","CAP_0805","Part 1",""
"4","C4","100nF","CAP_0805","Part 1",""
"5","C5","22pF","CAP_0805","Part 1",""
"6","C6","22pF","CAP_0805","Part 1",""
"7","C11","0.1uF","CAP_0805","Part 1",""
"8","C12","0.1uF","CAP_0805","Part 1",""
"9","D1","","DIODE_1206","Part 1",""
"10","D2","","LED","Part 1",""
"11","J1","Power 12V","395211002","Part 1","Molex"
"12","J2","Program","644456-6","Part 1","TE Connectivity"
"13","J3","RS232","644456-3","Part 1","TE Connectivity"
"14","LS1","KPX-G1205A","AI-1223-TWT-5V-R","Part 1","Pui Audio"
"15","PH3","SFH5110-36","TSOP34130","Part 1","Vishay"
"16","PH4","SFH5110-36","TSOP34130","Part 1","Vishay"
"17","Q1","MPSA42","MPSA42","Part 1",""
"18","Q2","MPSA42","MPSA42","Part 1",""
"19","Q3","MPSA42","MPSA42","Part 1",""
"20","Q4","MPSA42","MPSA42","Part 1",""
"21","R1","10k","RES_0805","Part 1",""
"22","R2","30","RES_0805","Part 1",""
"23","R3","120","RES_0805","Part 1",""
"24","R4","120","RES_0805","Part 1",""
"25","R13","10k","RES_0805","Part 1",""
"26","R14","100k","RES_0805","Part 1",""
"27","R15","10k","RES_0805","Part 1",""
"28","R16","10k","RES_0805","Part 1",""
"29","R17","10k","RES_0805","Part 1",""
"30","R18","100k","RES_0805","Part 1",""
"31","R19","10k","RES_0805","Part 1",""
"32","R20","10k","RES_0805","Part 1",""
"33","R21","","RES_0805","Part 1",""
"34","U1","ATMEGA48PA-AU","QFP32/QFN32-0.6/0.8mm","Part 1",""
"35","U2","MAX3232-MiniBoard","MAX3232-MiniBoard","Part 1",""
"36","U3","78L05","MC78L05ACD","Part 1","Motorola"
"37","U4","USR-TCP232-T2","USR-TCP232-T2","Part 1",""
"38","Y1","14,7456MHz","HC49S","Part 1",""
